indexGQ,ageyrs,male
0,18,FALSE
0,18,TRUE
2,18,FALSE
2,18,FALSE
10,18,TRUE
12,18,FALSE
18,18,TRUE
20,18,TRUE
23,18,TRUE
26,18,TRUE
31,18,TRUE
3,19,TRUE
4,19,TRUE
8,19,TRUE
8,19,TRUE
12,19,FALSE
12,19,FALSE
13,19,TRUE
14,19,FALSE
17,19,TRUE
20,19,FALSE
20,19,FALSE
21,19,TRUE
26,19,FALSE
27,19,TRUE
28,19,TRUE
29,19,TRUE
31,19,TRUE
0,20,TRUE
5,20,TRUE
7,20,TRUE
7,20,TRUE
10,20,TRUE
17,20,TRUE
18,20,TRUE
24,20,TRUE
25,20,TRUE
26,20,FALSE
31,20,TRUE
32,20,TRUE
32,20,TRUE
0,21,TRUE
2,21,TRUE
3,21,TRUE
6,21,TRUE
7,21,TRUE
8,21,TRUE
9,21,TRUE
11,21,TRUE
12,21,TRUE
12,21,TRUE
13,21,TRUE
14,21,FALSE
16,21,TRUE
17,21,TRUE
19,21,TRUE
21,21,TRUE
24,21,TRUE
24,21,TRUE
25,21,TRUE
26,21,TRUE
27,21,TRUE
29,21,FALSE
29,21,TRUE
31,21,TRUE
31,21,TRUE
32,21,TRUE
33,21,FALSE
33,21,FALSE
33,21,FALSE
1,22,TRUE
8,22,TRUE
9,22,TRUE
10,22,TRUE
13,22,TRUE
20,22,FALSE
22,22,TRUE
23,22,TRUE
24,22,TRUE
26,22,FALSE
26,22,TRUE
26,22,TRUE
29,22,FALSE
2,23,TRUE
6,23,TRUE
8,23,TRUE
10,23,TRUE
10,23,TRUE
11,23,TRUE
14,23,FALSE
18,23,TRUE
20,23,FALSE
21,23,TRUE
22,23,TRUE
23,23,TRUE
28,23,TRUE
29,23,FALSE
29,23,FALSE
30,23,TRUE
33,23,FALSE
1,24,TRUE
10,24,TRUE
12,24,FALSE
15,24,TRUE
21,24,TRUE
23,24,TRUE
26,24,TRUE
32,24,TRUE
2,25,FALSE
2,25,FALSE
2,25,TRUE
3,25,TRUE
4,25,TRUE
5,25,FALSE
6,25,TRUE
12,25,FALSE
12,25,FALSE
13,25,TRUE
14,25,TRUE
16,25,TRUE
17,25,TRUE
18,25,TRUE
19,25,TRUE
19,25,TRUE
20,25,TRUE
23,25,TRUE
24,25,TRUE
27,25,TRUE
29,25,FALSE
29,25,FALSE
29,25,TRUE
29,25,TRUE
29,25,TRUE
30,25,TRUE
31,25,TRUE
0,26,FALSE
0,26,TRUE
1,26,TRUE
1,26,TRUE
2,26,FALSE
3,26,TRUE
3,26,TRUE
5,26,FALSE
6,26,TRUE
8,26,TRUE
9,26,TRUE
12,26,TRUE
17,26,TRUE
18,26,TRUE
18,26,TRUE
19,26,TRUE
22,26,TRUE
23,26,TRUE
25,26,TRUE
26,26,FALSE
27,26,TRUE
27,26,TRUE
29,26,FALSE
31,26,TRUE
32,26,TRUE
33,26,FALSE
33,26,FALSE
0,27,TRUE
3,27,TRUE
5,27,TRUE
10,27,TRUE
10,27,TRUE
12,27,FALSE
12,27,TRUE
12,27,TRUE
16,27,TRUE
17,27,TRUE
19,27,TRUE
20,27,FALSE
20,27,FALSE
21,27,TRUE
26,27,FALSE
26,27,TRUE
30,27,TRUE
31,27,TRUE
33,27,TRUE
2,28,TRUE
3,28,TRUE
5,28,FALSE
5,28,FALSE
5,28,FALSE
5,28,TRUE
6,28,TRUE
7,28,TRUE
8,28,TRUE
10,28,TRUE
14,28,TRUE
17,28,TRUE
21,28,TRUE
22,28,TRUE
25,28,TRUE
26,28,FALSE
27,28,TRUE
28,28,TRUE
29,28,TRUE
31,28,TRUE
31,28,TRUE
31,28,TRUE
31,28,TRUE
33,28,FALSE
0,29,FALSE
0,29,FALSE
0,29,TRUE
1,29,TRUE
2,29,FALSE
2,29,TRUE
3,29,TRUE
5,29,FALSE
5,29,TRUE
7,29,TRUE
10,29,TRUE
10,29,TRUE
11,29,TRUE
13,29,TRUE
20,29,FALSE
21,29,TRUE
23,29,TRUE
23,29,TRUE
26,29,FALSE
26,29,TRUE
30,29,TRUE
30,29,TRUE
32,29,TRUE
33,29,FALSE
1,30,TRUE
4,30,TRUE
5,30,TRUE
5,30,TRUE
8,30,TRUE
11,30,TRUE
12,30,FALSE
13,30,TRUE
14,30,TRUE
15,30,TRUE
15,30,TRUE
18,30,TRUE
18,30,TRUE
19,30,TRUE
21,30,TRUE
25,30,TRUE
26,30,TRUE
28,30,TRUE
29,30,FALSE
29,30,TRUE
30,30,TRUE
33,30,TRUE
0,31,FALSE
1,31,TRUE
2,31,FALSE
2,31,TRUE
3,31,TRUE
4,31,TRUE
4,31,TRUE
4,31,TRUE
5,31,TRUE
5,31,TRUE
