indexNH,ageyrs,male
0,65,FALSE
1,65,FALSE
2,65,FALSE
3,65,TRUE
3,65,FALSE
4,65,TRUE
0,66,TRUE
1,66,TRUE
2,66,FALSE
2,66,FALSE
4,66,TRUE
4,66,FALSE
5,66,TRUE
2,67,FALSE
2,67,FALSE
3,67,FALSE
5,67,FALSE
2,68,FALSE
3,68,FALSE
4,68,TRUE
4,68,FALSE
5,68,TRUE
5,68,FALSE
5,68,TRUE
0,69,TRUE
4,69,TRUE
3,70,TRUE
3,70,TRUE
3,70,FALSE
3,71,FALSE
4,71,TRUE
2,72,FALSE
4,72,FALSE
5,72,TRUE
0,73,TRUE
3,73,TRUE
1,74,FALSE
4,74,TRUE
1,75,FALSE
3,75,TRUE
5,75,TRUE
1,76,TRUE
4,76,TRUE
3,77,FALSE
0,78,FALSE
1,78,TRUE
4,78,TRUE
5,78,TRUE
1,81,FALSE
2,81,FALSE
4,81,FALSE
1,82,FALSE
3,82,TRUE
3,82,TRUE
1,83,FALSE
4,84,FALSE
2,85,TRUE
3,85,FALSE
0,86,FALSE
0,86,FALSE
0,87,FALSE
0,87,FALSE
1,87,FALSE
1,87,FALSE
1,87,TRUE
3,87,FALSE
5,87,FALSE
5,87,FALSE
0,88,TRUE
0,88,FALSE
1,88,TRUE
3,88,TRUE
5,88,FALSE
1,89,TRUE
2,89,TRUE
3,89,TRUE
0,91,TRUE
1,91,TRUE
2,91,FALSE
2,91,FALSE
3,91,TRUE
0,92,FALSE
0,92,FALSE
2,92,FALSE
4,92,FALSE
5,92,FALSE
5,92,TRUE
5,92,FALSE
1,93,FALSE
1,93,TRUE
2,93,FALSE
4,93,TRUE
5,93,TRUE
5,93,TRUE
5,93,FALSE
0,94,FALSE
0,95,TRUE
0,95,FALSE
2,95,FALSE
2,95,FALSE
2,95,FALSE
5,95,FALSE
3,96,TRUE
4,96,FALSE
4,96,TRUE
5,96,FALSE
0,97,FALSE
0,97,FALSE
1,97,TRUE
2,97,TRUE
2,97,TRUE
4,97,FALSE
4,97,FALSE
5,97,TRUE
0,98,FALSE
1,98,FALSE
4,98,FALSE
1,99,FALSE
2,99,TRUE
3,99,TRUE
