indexNH,ageyrs,male
0,65,TRUE
0,65,TRUE
0,65,TRUE
1,65,TRUE
3,65,FALSE
3,65,TRUE
5,65,FALSE
5,65,FALSE
5,65,FALSE
1,66,TRUE
1,66,TRUE
4,66,TRUE
1,67,TRUE
2,67,TRUE
1,68,TRUE
4,68,TRUE
4,68,TRUE
0,69,TRUE
1,69,TRUE
2,69,TRUE
4,69,FALSE
4,69,FALSE
1,70,FALSE
1,70,TRUE
2,71,TRUE
3,71,FALSE
3,71,FALSE
5,71,FALSE
0,72,TRUE
1,72,TRUE
2,72,TRUE
5,72,TRUE
1,73,TRUE
1,73,TRUE
3,73,TRUE
5,73,FALSE
1,74,TRUE
2,74,FALSE
3,74,TRUE
3,74,TRUE
0,75,TRUE
1,75,TRUE
3,75,TRUE
2,76,FALSE
2,76,TRUE
4,76,TRUE
0,77,FALSE
2,77,TRUE
4,77,FALSE
2,78,TRUE
2,78,TRUE
4,78,TRUE
5,78,TRUE
0,79,TRUE
0,79,TRUE
2,79,TRUE
4,79,TRUE
5,79,FALSE
0,80,FALSE
0,80,FALSE
5,81,FALSE
5,81,FALSE
0,83,FALSE
3,83,FALSE
4,83,TRUE
4,83,TRUE
4,83,TRUE
3,84,TRUE
5,84,FALSE
1,85,TRUE
3,85,FALSE
3,85,FALSE
5,85,TRUE
0,86,FALSE
2,86,FALSE
2,86,TRUE
2,86,FALSE
3,86,FALSE
4,86,FALSE
0,87,FALSE
2,87,TRUE
3,87,FALSE
4,87,FALSE
1,88,FALSE
1,88,FALSE
3,88,TRUE
4,88,TRUE
5,88,FALSE
5,88,FALSE
2,89,FALSE
4,89,FALSE
0,90,FALSE
2,90,FALSE
4,90,TRUE
4,90,TRUE
0,91,TRUE
0,91,FALSE
1,91,TRUE
3,91,FALSE
4,91,FALSE
5,91,FALSE
3,92,FALSE
5,93,FALSE
3,94,FALSE
5,94,FALSE
5,94,TRUE
0,95,TRUE
2,95,TRUE
5,95,FALSE
5,95,FALSE
1,96,FALSE
2,96,FALSE
3,96,TRUE
3,96,TRUE
1,97,FALSE
1,97,TRUE
0,98,FALSE
0,98,FALSE
2,98,FALSE
4,99,FALSE
