indexGQ,ageyrs,male
4,18,TRUE
5,18,TRUE
14,18,FALSE
19,18,TRUE
21,18,TRUE
22,18,TRUE
25,18,TRUE
27,18,FALSE
27,18,FALSE
27,18,TRUE
27,18,TRUE
28,18,TRUE
28,18,TRUE
29,18,TRUE
31,18,TRUE
7,19,TRUE
8,19,TRUE
9,19,TRUE
9,19,TRUE
13,19,TRUE
15,19,TRUE
18,19,FALSE
22,19,TRUE
23,19,TRUE
27,19,TRUE
33,19,TRUE
3,20,TRUE
8,20,TRUE
10,20,TRUE
15,20,TRUE
17,20,TRUE
18,20,FALSE
19,20,TRUE
22,20,TRUE
26,20,TRUE
29,20,TRUE
30,20,TRUE
31,20,FALSE
0,21,TRUE
4,21,TRUE
9,21,TRUE
10,21,TRUE
13,21,TRUE
14,21,TRUE
18,21,FALSE
22,21,TRUE
27,21,FALSE
27,21,TRUE
29,21,TRUE
31,21,TRUE
32,21,TRUE
3,22,TRUE
8,22,TRUE
10,22,TRUE
12,22,TRUE
13,22,TRUE
14,22,FALSE
14,22,TRUE
14,22,TRUE
15,22,TRUE
16,22,TRUE
18,22,TRUE
21,22,TRUE
22,22,TRUE
23,22,TRUE
23,22,TRUE
26,22,TRUE
27,22,FALSE
27,22,TRUE
33,22,TRUE
33,22,TRUE
0,23,TRUE
5,23,TRUE
8,23,TRUE
10,23,TRUE
11,23,TRUE
16,23,TRUE
16,23,TRUE
16,23,TRUE
18,23,TRUE
21,23,TRUE
21,23,TRUE
23,23,FALSE
23,23,TRUE
29,23,TRUE
31,23,TRUE
32,23,FALSE
32,23,TRUE
2,24,TRUE
6,24,TRUE
15,24,TRUE
17,24,TRUE
29,24,TRUE
31,24,TRUE
1,25,TRUE
1,25,TRUE
3,25,TRUE
4,25,TRUE
5,25,TRUE
8,25,TRUE
8,25,TRUE
8,25,TRUE
9,25,TRUE
9,25,TRUE
14,25,FALSE
16,25,TRUE
17,25,FALSE
18,25,TRUE
21,25,FALSE
22,25,TRUE
23,25,TRUE
30,25,TRUE
31,25,TRUE
31,25,TRUE
32,25,TRUE
1,26,TRUE
4,26,TRUE
5,26,TRUE
5,26,TRUE
7,26,TRUE
11,26,TRUE
11,26,TRUE
12,26,TRUE
12,26,TRUE
14,26,TRUE
15,26,TRUE
17,26,FALSE
18,26,FALSE
18,26,TRUE
21,26,TRUE
23,26,FALSE
23,26,FALSE
26,26,TRUE
27,26,FALSE
28,26,TRUE
31,26,TRUE
33,26,TRUE
33,26,TRUE
0,27,TRUE
