indexNH,ageyrs,male
2,65,FALSE
5,65,TRUE
5,65,TRUE
0,66,FALSE
4,66,TRUE
4,66,TRUE
4,66,TRUE
5,66,TRUE
1,67,FALSE
1,67,FALSE
1,67,TRUE
1,67,TRUE
2,67,TRUE
2,67,TRUE
4,67,TRUE
5,67,TRUE
5,67,TRUE
0,68,FALSE
2,68,FALSE
4,68,FALSE
4,68,TRUE
0,69,TRUE
0,69,FALSE
2,69,TRUE
4,69,TRUE
5,69,FALSE
4,70,TRUE
4,70,FALSE
0,71,TRUE
0,71,TRUE
2,71,FALSE
3,71,TRUE
3,71,FALSE
4,71,FALSE
4,71,TRUE
5,71,TRUE
1,72,FALSE
1,72,TRUE
1,73,FALSE
1,73,FALSE
1,73,FALSE
3,73,FALSE
3,73,FALSE
4,73,TRUE
2,74,FALSE
3,74,TRUE
3,74,FALSE
5,75,TRUE
3,76,TRUE
5,76,TRUE
0,77,FALSE
1,77,TRUE
3,78,FALSE
3,78,TRUE
0,79,FALSE
1,79,TRUE
1,80,FALSE
2,80,FALSE
4,80,TRUE
5,80,TRUE
2,82,FALSE
2,82,FALSE
5,82,FALSE
3,83,FALSE
0,84,FALSE
1,85,TRUE
2,85,FALSE
2,85,FALSE
3,85,FALSE
4,85,FALSE
0,86,FALSE
4,86,TRUE
5,86,FALSE
0,87,FALSE
0,87,FALSE
3,87,FALSE
4,87,FALSE
5,87,TRUE
0,88,TRUE
1,88,TRUE
1,88,TRUE
2,88,TRUE
3,88,TRUE
4,88,FALSE
5,88,TRUE
1,89,TRUE
2,89,TRUE
3,89,TRUE
5,89,FALSE
5,89,TRUE
0,90,FALSE
0,90,FALSE
3,90,TRUE
4,90,FALSE
0,91,TRUE
0,91,FALSE
1,91,FALSE
2,91,FALSE
3,91,TRUE
1,92,FALSE
2,92,FALSE
0,93,FALSE
3,93,FALSE
3,93,FALSE
1,94,FALSE
3,94,TRUE
4,94,TRUE
0,95,FALSE
2,95,FALSE
5,95,FALSE
2,96,FALSE
0,97,TRUE
2,97,TRUE
2,97,TRUE
5,97,FALSE
5,97,TRUE
1,98,FALSE
4,98,FALSE
5,98,TRUE
3,99,TRUE
