indexGQ,ageyrs,male
6,18,TRUE
10,18,TRUE
12,18,FALSE
12,18,TRUE
12,18,TRUE
20,18,TRUE
22,18,TRUE
29,18,TRUE
31,18,TRUE
33,18,TRUE
33,18,TRUE
2,19,FALSE
2,19,FALSE
2,19,TRUE
3,19,FALSE
5,19,TRUE
6,19,TRUE
13,19,TRUE
15,19,FALSE
22,19,TRUE
24,19,TRUE
25,19,TRUE
33,19,TRUE
3,20,FALSE
5,20,TRUE
6,20,TRUE
6,20,TRUE
11,20,TRUE
12,20,FALSE
12,20,TRUE
13,20,TRUE
13,20,TRUE
13,20,TRUE
15,20,FALSE
17,20,TRUE
21,20,TRUE
22,20,TRUE
30,20,FALSE
30,20,FALSE
30,20,TRUE
0,21,TRUE
1,21,TRUE
3,21,TRUE
3,21,TRUE
7,21,TRUE
8,21,TRUE
12,21,TRUE
12,21,TRUE
14,21,TRUE
18,21,TRUE
20,21,TRUE
21,21,TRUE
21,21,TRUE
27,21,TRUE
30,21,FALSE
30,21,FALSE
30,21,FALSE
31,21,TRUE
31,21,TRUE
2,22,FALSE
3,22,FALSE
3,22,FALSE
5,22,TRUE
8,22,TRUE
10,22,TRUE
13,22,TRUE
21,22,TRUE
22,22,TRUE
22,22,TRUE
27,22,TRUE
29,22,TRUE
30,22,FALSE
30,22,TRUE
32,22,TRUE
2,23,FALSE
3,23,FALSE
9,23,TRUE
11,23,TRUE
12,23,FALSE
16,23,TRUE
17,23,TRUE
17,23,TRUE
19,23,TRUE
22,23,TRUE
23,23,TRUE
23,23,TRUE
23,23,TRUE
24,23,TRUE
24,23,TRUE
30,23,TRUE
30,23,TRUE
32,23,TRUE
2,24,FALSE
3,24,FALSE
6,24,TRUE
12,24,FALSE
13,24,TRUE
17,24,TRUE
17,24,TRUE
22,24,TRUE
22,24,TRUE
28,24,TRUE
29,24,TRUE
30,24,FALSE
32,24,TRUE
33,24,TRUE
1,25,TRUE
2,25,TRUE
18,25,TRUE
19,25,TRUE
20,25,TRUE
22,25,TRUE
26,25,TRUE
28,25,TRUE
29,25,TRUE
30,25,FALSE
2,26,TRUE
10,26,TRUE
11,26,TRUE
13,26,TRUE
13,26,TRUE
17,26,TRUE
21,26,TRUE
25,26,TRUE
25,26,TRUE
27,26,TRUE
29,26,TRUE
29,26,TRUE
