indexGQ,ageyrs,male
1,18,TRUE
2,18,FALSE
2,18,FALSE
2,18,TRUE
2,18,TRUE
4,18,TRUE
5,18,FALSE
11,18,TRUE
15,18,TRUE
16,18,TRUE
21,18,TRUE
24,18,TRUE
26,18,TRUE
27,18,FALSE
27,18,TRUE
30,18,TRUE
31,18,FALSE
32,18,TRUE
33,18,TRUE
0,19,TRUE
0,19,TRUE
8,19,TRUE
9,19,TRUE
12,19,TRUE
13,19,TRUE
18,19,TRUE
19,19,TRUE
20,19,TRUE
24,19,TRUE
30,19,TRUE
3,20,FALSE
3,20,FALSE
3,20,FALSE
5,20,TRUE
17,20,TRUE
17,20,TRUE
18,20,TRUE
24,20,TRUE
26,20,FALSE
28,20,TRUE
30,20,TRUE
32,20,TRUE
2,21,TRUE
5,21,FALSE
5,21,FALSE
5,21,TRUE
11,21,TRUE
12,21,TRUE
16,21,TRUE
16,21,TRUE
17,21,TRUE
20,21,TRUE
21,21,TRUE
23,21,TRUE
24,21,TRUE
24,21,TRUE
25,21,TRUE
26,21,FALSE
28,21,TRUE
29,21,TRUE
29,21,TRUE
31,21,TRUE
0,22,TRUE
1,22,TRUE
2,22,FALSE
5,22,FALSE
6,22,TRUE
9,22,TRUE
14,22,TRUE
15,22,TRUE
18,22,TRUE
18,22,TRUE
21,22,TRUE
22,22,TRUE
26,22,TRUE
31,22,FALSE
31,22,TRUE
31,22,TRUE
2,23,FALSE
3,23,TRUE
3,23,TRUE
4,23,TRUE
10,23,TRUE
12,23,TRUE
13,23,TRUE
15,23,TRUE
18,23,TRUE
20,23,TRUE
24,23,TRUE
27,23,FALSE
29,23,TRUE
33,23,TRUE
2,24,FALSE
2,24,TRUE
6,24,TRUE
12,24,TRUE
12,24,TRUE
13,24,TRUE
14,24,TRUE
24,24,TRUE
26,24,FALSE
27,24,TRUE
0,25,TRUE
2,25,FALSE
4,25,TRUE
5,25,TRUE
7,25,TRUE
11,25,TRUE
14,25,TRUE
16,25,TRUE
17,25,TRUE
22,25,TRUE
25,25,TRUE
30,25,TRUE
