indexHome,ageyrs,male,indexSchool
197,0,TRUE,3
394,0,FALSE,3
497,0,TRUE,4
619,0,FALSE,4
691,0,TRUE,4
771,0,FALSE,4
813,0,TRUE,4
1080,0,FALSE,5
1263,0,FALSE,5
1421,0,TRUE,5
1549,0,TRUE,8
1676,0,TRUE,8
1686,0,TRUE,8
1717,0,TRUE,8
1743,0,TRUE,8
1817,0,FALSE,11
1929,0,FALSE,11
1990,0,FALSE,11
2298,0,FALSE,12
2300,0,TRUE,12
2398,0,TRUE,12
2577,0,TRUE,14
2894,0,FALSE,14
3196,0,FALSE,16
3224,0,TRUE,16
3428,0,FALSE,18
3551,0,FALSE,18
3705,0,TRUE,18
3751,0,FALSE,18
3798,0,FALSE,21
3917,0,TRUE,21
3918,0,TRUE,21
3996,0,TRUE,21
4014,0,TRUE,21
4209,0,FALSE,22
4300,0,TRUE,22
4349,0,FALSE,22
4500,0,TRUE,24
4542,0,FALSE,24
4555,0,TRUE,24
4610,0,FALSE,24
4801,0,TRUE,24
4835,0,TRUE,24
4851,0,TRUE,27
4867,0,FALSE,27
5255,0,FALSE,29
5296,0,TRUE,29
5443,0,FALSE,29
5554,0,TRUE,29
5581,0,TRUE,29
5680,0,TRUE,30
5691,0,TRUE,30
6011,0,TRUE,33
6030,0,FALSE,33
6111,0,FALSE,33
6185,0,TRUE,33
6250,0,TRUE,33
6253,0,FALSE,33
6431,0,TRUE,34
6431,0,FALSE,34
6449,0,FALSE,34
6456,0,TRUE,34
6825,0,TRUE,37
6875,0,TRUE,37
6914,0,FALSE,37
6937,0,FALSE,37
7263,0,FALSE,37
7302,0,FALSE,37
7640,0,FALSE,39
7716,0,FALSE,41
7721,0,FALSE,41
7768,0,TRUE,41
8112,0,FALSE,41
8142,0,FALSE,41
8363,0,FALSE,44
8386,0,FALSE,44
8790,0,FALSE,46
8942,0,FALSE,46
9084,0,FALSE,46
9113,0,TRUE,46
9372,0,TRUE,46
9625,0,FALSE,48
9677,0,FALSE,48
10026,0,FALSE,52
10043,0,FALSE,52
10046,0,TRUE,52
10099,0,TRUE,52
10301,0,FALSE,53
10530,0,TRUE,53
10586,0,TRUE,53
10682,0,TRUE,53
10856,0,FALSE,55
10886,0,FALSE,55
11054,0,FALSE,55
11189,0,TRUE,58
11333,0,FALSE,58
11466,0,TRUE,58
11668,0,FALSE,60
11683,0,TRUE,60
11708,0,FALSE,60
11762,0,TRUE,60
11849,0,TRUE,60
11866,0,TRUE,60
12075,0,TRUE,62
12190,0,FALSE,62
12222,0,TRUE,62
12581,0,FALSE,65
12590,0,TRUE,65
12712,0,TRUE,65
12752,0,TRUE,65
13732,0,FALSE,69
13810,0,TRUE,69
13908,0,TRUE,69
14069,0,FALSE,71
14149,0,FALSE,71
14182,0,TRUE,71
14295,0,TRUE,73
14431,0,FALSE,73
14524,0,TRUE,73
14600,0,TRUE,73
14614,0,TRUE,76
14634,0,FALSE,76
14689,0,FALSE,76
14750,0,TRUE,76
14789,0,TRUE,76
14869,0,FALSE,76
15037,0,TRUE,77
15066,0,FALSE,77
15250,0,TRUE,77
15297,0,FALSE,77
15439,0,FALSE,79
15502,0,FALSE,79
15673,0,TRUE,79
15868,0,TRUE,82
15900,0,FALSE,82
15987,0,TRUE,82
15990,0,FALSE,82
16140,0,FALSE,83
16225,0,TRUE,83
16315,0,FALSE,83
16572,0,TRUE,86
16616,0,FALSE,86
17256,0,FALSE,87
17273,0,FALSE,87
17487,0,TRUE,89
17592,0,FALSE,89
17715,0,TRUE,89
17758,0,TRUE,89
17889,0,FALSE,92
17914,0,TRUE,92
17943,0,FALSE,92
17967,0,TRUE,92
18236,0,TRUE,92
18443,0,TRUE,95
18492,0,FALSE,95
18509,0,FALSE,95
18527,0,FALSE,95
18827,0,FALSE,96
19046,0,TRUE,96
19092,0,TRUE,96
19099,0,FALSE,96
19249,0,FALSE,96
19351,0,FALSE,99
19560,0,TRUE,99
19578,0,TRUE,99
19704,0,TRUE,99
20003,0,FALSE,100
20107,0,TRUE,100
20108,0,FALSE,100
20135,0,FALSE,100
20435,0,TRUE,104
20463,0,TRUE,104
20537,0,FALSE,104
20561,0,TRUE,104
21011,0,FALSE,106
78,1,TRUE,3
131,1,TRUE,3
207,1,FALSE,3
344,1,TRUE,3
371,1,TRUE,3
408,1,TRUE,4
558,1,FALSE,4
592,1,TRUE,4
1011,1,TRUE,5
1184,1,FALSE,5
1218,1,TRUE,5
1569,1,FALSE,8
1824,1,TRUE,11
1924,1,FALSE,11
1956,1,FALSE,11
2013,1,TRUE,11
2077,1,FALSE,11
2077,1,TRUE,11
2180,1,FALSE,12
2237,1,FALSE,12
2334,1,FALSE,12
2610,1,FALSE,14
2755,1,FALSE,14
2805,1,TRUE,14
2851,1,FALSE,14
2853,1,FALSE,14
2897,1,FALSE,14
2999,1,TRUE,16
3151,1,TRUE,16
3180,1,FALSE,16
3330,1,FALSE,16
3352,1,FALSE,18
3760,1,FALSE,18
3766,1,TRUE,18
3766,1,TRUE,18
3841,1,FALSE,21
3885,1,TRUE,21
4033,1,FALSE,22
4198,1,TRUE,22
4542,1,FALSE,24
4886,1,FALSE,27
4899,1,FALSE,27
5195,1,FALSE,27
5373,1,TRUE,29
5588,1,FALSE,29
5645,1,TRUE,29
5650,1,TRUE,30
5690,1,TRUE,30
5774,1,TRUE,30
5817,1,TRUE,30
6047,1,FALSE,33
6066,1,FALSE,33
6259,1,FALSE,33
6503,1,FALSE,34
6616,1,TRUE,34
6623,1,FALSE,34
6970,1,FALSE,37
7137,1,FALSE,37
7139,1,TRUE,37
7314,1,TRUE,37
7344,1,TRUE,39
7370,1,FALSE,39
7414,1,FALSE,39
7617,1,TRUE,39
7698,1,TRUE,39
7997,1,FALSE,41
8612,1,TRUE,44
9377,1,FALSE,46
9451,1,TRUE,48
9537,1,TRUE,48
9610,1,TRUE,48
10147,1,FALSE,52
10183,1,FALSE,52
10219,1,FALSE,53
10522,1,TRUE,53
10768,1,FALSE,53
10957,1,TRUE,55
10993,1,TRUE,55
11121,1,FALSE,55
11153,1,FALSE,58
11164,1,TRUE,58
11248,1,TRUE,58
11448,1,TRUE,58
11517,1,TRUE,58
11617,1,TRUE,58
11740,1,TRUE,60
11798,1,FALSE,60
11813,1,TRUE,60
11927,1,TRUE,60
12037,1,FALSE,60
12112,1,FALSE,62
12182,1,TRUE,62
12499,1,FALSE,65
12532,1,FALSE,65
12623,1,TRUE,65
12664,1,FALSE,65
12848,1,FALSE,65
13146,1,TRUE,67
13196,1,TRUE,67
13207,1,FALSE,67
13447,1,FALSE,69
13547,1,FALSE,69
13674,1,TRUE,69
13785,1,TRUE,69
13872,1,TRUE,69
13955,1,FALSE,71
14073,1,TRUE,71
14073,1,FALSE,71
14208,1,FALSE,71
14216,1,FALSE,71
14473,1,TRUE,73
14507,1,TRUE,73
14511,1,FALSE,73
14773,1,TRUE,76
14903,1,TRUE,76
15030,1,FALSE,77
15142,1,TRUE,77
15291,1,FALSE,77
15362,1,TRUE,79
15492,1,FALSE,79
15527,1,FALSE,79
15545,1,FALSE,79
15552,1,FALSE,79
15747,1,TRUE,82
15865,1,TRUE,82
15968,1,TRUE,82
16035,1,FALSE,83
16069,1,TRUE,83
16232,1,TRUE,83
16234,1,FALSE,83
16255,1,TRUE,83
16427,1,FALSE,83
16478,1,TRUE,86
16544,1,FALSE,86
16623,1,TRUE,86
16776,1,FALSE,86
16967,1,TRUE,87
17027,1,FALSE,87
17031,1,TRUE,87
17092,1,TRUE,87
17135,1,FALSE,87
17220,1,TRUE,87
17232,1,FALSE,87
17415,1,TRUE,89
17438,1,FALSE,89
17663,1,FALSE,89
17677,1,FALSE,89
17855,1,FALSE,92
17997,1,TRUE,92
18211,1,TRUE,92
18249,1,TRUE,95
18559,1,FALSE,95
18599,1,FALSE,95
18827,1,TRUE,96
18830,1,TRUE,96
18972,1,TRUE,96
19085,1,FALSE,96
19282,1,TRUE,99
19474,1,TRUE,99
19704,1,FALSE,99
20118,1,TRUE,100
20159,1,FALSE,100
20222,1,TRUE,100
20654,1,TRUE,104
20758,1,TRUE,104
20802,1,TRUE,106
20838,1,FALSE,106
21025,1,FALSE,106
21032,1,TRUE,106
76,2,FALSE,3
197,2,TRUE,3
217,2,TRUE,3
382,2,FALSE,3
451,2,FALSE,4
487,2,TRUE,4
594,2,TRUE,4
866,2,FALSE,4
937,2,FALSE,5
1010,2,FALSE,5
1011,2,FALSE,5
1149,2,FALSE,5
1281,2,TRUE,5
1311,2,TRUE,5
1564,2,FALSE,8
1589,2,TRUE,8
1694,2,FALSE,8
2040,2,TRUE,11
2274,2,TRUE,12
2629,2,TRUE,14
3082,2,TRUE,16
3179,2,FALSE,16
3284,2,FALSE,16
3413,2,TRUE,18
3986,2,FALSE,21
4000,2,FALSE,21
4473,2,FALSE,24
4515,2,FALSE,24
4555,2,FALSE,24
4798,2,FALSE,24
4916,2,TRUE,27
4927,2,FALSE,27
4949,2,FALSE,27
5000,2,TRUE,27
5053,2,FALSE,27
5206,2,TRUE,27
5328,2,TRUE,29
5500,2,FALSE,29
5561,2,FALSE,29
5597,2,FALSE,29
5650,2,FALSE,30
5655,2,FALSE,30
5995,2,FALSE,30
6038,2,TRUE,33
6234,2,TRUE,33
6263,2,TRUE,33
6344,2,FALSE,34
6350,2,TRUE,34
6403,2,TRUE,34
6775,2,TRUE,34
6837,2,TRUE,37
6973,2,TRUE,37
7137,2,TRUE,37
7530,2,FALSE,39
7706,2,FALSE,39
7773,2,FALSE,41
7831,2,TRUE,41
7853,2,FALSE,41
8346,2,TRUE,44
8393,2,TRUE,44
8526,2,FALSE,44
8635,2,TRUE,44
8883,2,TRUE,46
8901,2,FALSE,46
9059,2,TRUE,46
9131,2,TRUE,46
9553,2,TRUE,48
9675,2,TRUE,48
9835,2,TRUE,48
9896,2,TRUE,48
9897,2,TRUE,52
10019,2,TRUE,52
10023,2,FALSE,52
10370,2,TRUE,53
10649,2,FALSE,53
10654,2,TRUE,53
10667,2,TRUE,53
10778,2,FALSE,55
11215,2,TRUE,58
11414,2,TRUE,58
11440,2,FALSE,58
11544,2,FALSE,58
11546,2,FALSE,58
11630,2,FALSE,60
11796,2,TRUE,60
12400,2,TRUE,62
12438,2,TRUE,62
12443,2,TRUE,62
12492,2,FALSE,62
12898,2,TRUE,65
12941,2,FALSE,65
13200,2,FALSE,67
13212,2,FALSE,67
13350,2,TRUE,67
13411,2,TRUE,67
13622,2,TRUE,69
13622,2,FALSE,69
13780,2,FALSE,69
13801,2,TRUE,69
13965,2,TRUE,71
14071,2,FALSE,71
14107,2,FALSE,71
14258,2,FALSE,71
14274,2,TRUE,73
14299,2,FALSE,73
14575,2,FALSE,73
14787,2,TRUE,76
14790,2,FALSE,76
14909,2,TRUE,76
14948,2,TRUE,77
15104,2,FALSE,77
15145,2,TRUE,77
15175,2,FALSE,77
15200,2,TRUE,77
15275,2,TRUE,77
15488,2,TRUE,79
15687,2,TRUE,79
15700,2,FALSE,79
15815,2,TRUE,82
15815,2,TRUE,82
15872,2,TRUE,82
16225,2,FALSE,83
16323,2,FALSE,83
16439,2,TRUE,86
16700,2,FALSE,86
17175,2,TRUE,87
17280,2,TRUE,87
17426,2,TRUE,89
17643,2,TRUE,89
17722,2,TRUE,89
17978,2,TRUE,92
18047,2,TRUE,92
18108,2,FALSE,92
18150,2,TRUE,92
18248,2,TRUE,92
18320,2,FALSE,95
18425,2,FALSE,95
18521,2,TRUE,95
18683,2,TRUE,95
18799,2,FALSE,96
19342,2,TRUE,99
19918,2,TRUE,100
20041,2,TRUE,100
20351,2,FALSE,104
20642,2,FALSE,104
20891,2,TRUE,106
20929,2,FALSE,106
21003,2,FALSE,106
218,3,FALSE,3
376,3,FALSE,3
386,3,FALSE,3
708,3,FALSE,4
841,3,FALSE,4
922,3,TRUE,4
1016,3,TRUE,5
1020,3,TRUE,5
1057,3,FALSE,5
1260,3,FALSE,5
1332,3,TRUE,5
1496,3,TRUE,8
1551,3,TRUE,8
1643,3,FALSE,8
1684,3,TRUE,8
