indexHome,ageyrs,male
20,75,TRUE
79,75,FALSE
151,75,FALSE
157,75,FALSE
211,75,TRUE
226,75,TRUE
242,75,FALSE
772,75,TRUE
803,75,FALSE
858,75,FALSE
867,75,FALSE
1047,75,FALSE
1062,75,FALSE
1207,75,FALSE
1214,75,FALSE
1218,75,FALSE
1379,75,TRUE
1575,75,TRUE
1618,75,FALSE
1662,75,TRUE
1807,75,FALSE
2066,75,TRUE
2262,75,FALSE
2331,75,FALSE
2344,75,TRUE
2678,75,TRUE
2758,75,FALSE
2805,75,FALSE
3108,75,FALSE
3132,75,FALSE
3141,75,FALSE
3176,75,FALSE
3191,75,FALSE
3202,75,FALSE
3526,75,FALSE
3557,75,TRUE
3611,75,TRUE
3780,75,TRUE
3803,75,FALSE
3962,75,FALSE
4062,75,TRUE
4205,75,FALSE
4211,75,FALSE
4262,75,FALSE
4302,75,FALSE
4397,75,FALSE
4437,75,FALSE
4583,75,TRUE
4707,75,FALSE
4708,75,FALSE
4726,75,TRUE
4764,75,FALSE
4846,75,FALSE
4962,75,TRUE
5084,75,TRUE
5260,75,TRUE
5266,75,FALSE
5283,75,FALSE
5330,75,TRUE
5384,75,TRUE
5491,75,TRUE
5557,75,TRUE
5680,75,FALSE
5686,75,FALSE
5724,75,FALSE
5743,75,TRUE
5780,75,FALSE
5796,75,FALSE
6078,75,TRUE
6196,75,FALSE
6230,75,TRUE
6455,75,TRUE
6484,75,TRUE
6514,75,FALSE
6575,75,TRUE
6689,75,FALSE
6958,75,TRUE
7100,75,TRUE
7187,75,FALSE
7628,75,FALSE
7674,75,TRUE
7867,75,TRUE
7892,75,TRUE
7985,75,FALSE
8068,75,FALSE
8306,75,TRUE
8316,75,TRUE
8318,75,FALSE
8320,75,FALSE
8453,75,FALSE
8605,75,TRUE
8818,75,TRUE
8896,75,FALSE
8897,75,FALSE
8902,75,TRUE
8973,75,FALSE
9303,75,TRUE
9406,75,TRUE
9676,75,FALSE
9683,75,TRUE
9728,75,FALSE
9908,75,FALSE
9989,75,FALSE
10252,75,TRUE
10285,75,FALSE
10314,75,FALSE
10362,75,FALSE
10397,75,FALSE
10541,75,FALSE
10819,75,TRUE
11078,75,TRUE
11104,75,FALSE
11435,75,FALSE
11555,75,TRUE
11613,75,FALSE
11625,75,FALSE
11890,75,TRUE
11978,75,FALSE
12113,75,FALSE
12261,75,FALSE
12480,75,TRUE
12503,75,FALSE
12526,75,TRUE
12622,75,FALSE
12649,75,TRUE
13136,75,TRUE
13201,75,TRUE
13248,75,FALSE
13409,75,FALSE
13626,75,FALSE
13664,75,FALSE
13693,75,TRUE
13714,75,TRUE
13921,75,TRUE
14128,75,TRUE
14194,75,FALSE
14482,75,TRUE
14489,75,FALSE
14586,75,FALSE
14624,75,TRUE
14752,75,FALSE
14791,75,TRUE
14816,75,FALSE
15008,75,FALSE
15102,75,TRUE
15133,75,TRUE
