indexHome,ageyrs,male,indexSchool,indexBus,indexNH,indexGQ
29,18,FALSE,-1,-1,-1,-1
77,18,TRUE,-1,-1,-1,-1
167,18,FALSE,-1,502,-1,-1
198,18,FALSE,38,-1,-1,-1
217,18,FALSE,-1,871,-1,-1
234,18,FALSE,-1,885,-1,-1
251,18,FALSE,-1,-1,-1,-1
254,18,FALSE,-1,260,-1,-1
385,18,TRUE,-1,-1,-1,-1
421,18,FALSE,-1,139,-1,-1
443,18,FALSE,-1,-1,-1,-1
459,18,TRUE,-1,-1,-1,-1
518,18,FALSE,-1,-1,-1,-1
584,18,FALSE,-1,-1,-1,-1
637,18,TRUE,-1,-1,-1,-1
652,18,FALSE,-1,68,-1,-1
671,18,TRUE,-1,-1,-1,-1
725,18,TRUE,-1,-1,-1,-1
738,18,FALSE,-1,-1,-1,-1
751,18,FALSE,-1,-1,-1,-1
767,18,FALSE,-1,-1,-1,-1
785,18,FALSE,-1,881,-1,-1
832,18,FALSE,-1,-1,-1,-1
853,18,FALSE,-1,-1,-1,-1
863,18,FALSE,-1,-1,-1,-1
901,18,TRUE,-1,44,-1,-1
945,18,FALSE,-1,-1,-1,-1
1096,18,FALSE,-1,-1,-1,-1
1125,18,FALSE,57,-1,-1,-1
1160,18,TRUE,-1,-1,-1,-1
1172,18,FALSE,-1,-1,-1,-1
1183,18,FALSE,-1,-1,-1,-1
1191,18,TRUE,-1,-1,-1,-1
1257,18,FALSE,-1,-1,-1,-1
1260,18,FALSE,-1,370,-1,-1
1276,18,FALSE,-1,-1,-1,-1
1289,18,FALSE,-1,738,-1,-1
1385,18,TRUE,-1,66,-1,-1
1415,18,FALSE,-1,209,-1,-1
1441,18,FALSE,-1,-1,-1,-1
1475,18,TRUE,-1,871,-1,-1
1480,18,TRUE,31,-1,-1,-1
1489,18,FALSE,-1,-1,-1,-1
1491,18,TRUE,-1,191,-1,-1
1493,18,FALSE,-1,-1,-1,-1
1514,18,FALSE,-1,-1,-1,-1
1525,18,FALSE,-1,-1,-1,-1
1526,18,FALSE,-1,-1,-1,-1
1530,18,TRUE,-1,-1,-1,-1
1533,18,FALSE,10,-1,-1,-1
1601,18,TRUE,-1,50,-1,-1
1627,18,FALSE,-1,-1,-1,-1
1653,18,FALSE,-1,-1,-1,-1
1738,18,FALSE,-1,-1,-1,-1
1759,18,TRUE,-1,346,-1,-1
1767,18,TRUE,-1,-1,-1,-1
1829,18,FALSE,-1,-1,-1,-1
1841,18,FALSE,-1,-1,-1,-1
1861,18,FALSE,-1,-1,-1,-1
1869,18,FALSE,-1,-1,-1,-1
1871,18,TRUE,-1,592,-1,-1
1876,18,FALSE,-1,-1,-1,-1
2145,18,TRUE,-1,494,-1,-1
2150,18,TRUE,-1,-1,-1,-1
2161,18,TRUE,-1,3,-1,-1
2179,18,FALSE,-1,-1,-1,-1
2185,18,TRUE,-1,-1,-1,-1
2198,18,FALSE,-1,-1,-1,-1
2291,18,TRUE,-1,-1,-1,-1
2335,18,FALSE,-1,-1,-1,-1
2437,18,FALSE,-1,-1,-1,-1
2484,18,FALSE,-1,-1,-1,-1
2507,18,FALSE,-1,-1,-1,-1
2516,18,FALSE,43,-1,-1,-1
2558,18,FALSE,-1,-1,-1,-1
2561,18,FALSE,-1,-1,-1,-1
2616,18,FALSE,-1,-1,-1,-1
2616,18,FALSE,-1,-1,-1,-1
2707,18,FALSE,-1,-1,-1,-1
2726,18,TRUE,-1,-1,-1,-1
2771,18,TRUE,-1,535,-1,-1
2826,18,TRUE,-1,577,-1,-1
2848,18,FALSE,-1,270,-1,-1
2897,18,TRUE,-1,-1,-1,-1
2927,18,TRUE,-1,378,-1,-1
2996,18,TRUE,-1,-1,-1,-1
3070,18,FALSE,-1,-1,-1,-1
3089,18,TRUE,-1,-1,-1,-1
3112,18,FALSE,-1,445,-1,-1
3146,18,FALSE,-1,-1,-1,-1
3146,18,TRUE,-1,-1,-1,-1
3149,18,FALSE,-1,-1,-1,-1
3163,18,TRUE,-1,440,-1,-1
3181,18,FALSE,54,608,-1,-1
3186,18,FALSE,-1,7,-1,-1
3217,18,TRUE,-1,-1,-1,-1
3219,18,FALSE,-1,-1,-1,-1
3235,18,FALSE,-1,478,-1,-1
3258,18,FALSE,-1,148,-1,-1
3333,18,TRUE,-1,68,-1,-1
3388,18,TRUE,-1,-1,-1,-1
3401,18,FALSE,-1,956,-1,-1
3409,18,TRUE,-1,-1,-1,33
3412,18,TRUE,-1,-1,-1,-1
3417,18,FALSE,-1,607,-1,-1
3485,18,FALSE,-1,-1,-1,-1
3491,18,FALSE,-1,-1,-1,-1
3530,18,FALSE,-1,-1,-1,-1
3556,18,TRUE,-1,643,-1,-1
3592,18,TRUE,-1,-1,-1,-1
3628,18,TRUE,-1,-1,-1,-1
3729,18,TRUE,-1,-1,-1,-1
3781,18,TRUE,-1,-1,-1,-1
3790,18,TRUE,-1,-1,-1,-1
3808,18,FALSE,-1,-1,-1,-1
3814,18,FALSE,-1,438,-1,-1
3841,18,TRUE,-1,-1,-1,-1
3930,18,FALSE,-1,-1,-1,-1
4018,18,FALSE,-1,-1,-1,-1
4071,18,TRUE,-1,607,-1,-1
4082,18,FALSE,-1,-1,-1,-1
4149,18,FALSE,-1,-1,-1,-1
4150,18,TRUE,-1,-1,-1,-1
4153,18,FALSE,-1,295,-1,-1
4233,18,TRUE,-1,111,-1,-1
4285,18,FALSE,-1,-1,-1,-1
4307,18,TRUE,-1,-1,-1,-1
4441,18,TRUE,-1,-1,-1,-1
4453,18,TRUE,-1,-1,-1,-1
4584,18,FALSE,-1,297,-1,-1
