indexNH,ageyrs,male
0,65,TRUE
1,65,TRUE
3,65,TRUE
3,65,FALSE
4,65,TRUE
5,65,FALSE
5,65,TRUE
1,66,FALSE
3,66,FALSE
3,66,FALSE
4,66,FALSE
2,67,FALSE
2,67,TRUE
3,67,FALSE
3,67,FALSE
4,67,FALSE
5,67,TRUE
0,68,FALSE
0,68,FALSE
2,68,TRUE
2,68,FALSE
5,68,FALSE
5,68,TRUE
2,69,FALSE
3,69,FALSE
4,69,FALSE
4,69,FALSE
1,70,TRUE
2,70,TRUE
3,70,TRUE
0,71,FALSE
1,71,TRUE
3,71,TRUE
5,71,TRUE
1,72,TRUE
5,72,FALSE
0,73,FALSE
0,74,FALSE
1,74,TRUE
2,74,FALSE
0,75,FALSE
1,75,TRUE
2,75,FALSE
4,75,FALSE
4,75,FALSE
0,76,FALSE
2,76,FALSE
4,77,FALSE
5,77,FALSE
2,78,TRUE
2,79,TRUE
4,79,TRUE
1,82,FALSE
2,82,FALSE
1,83,FALSE
4,83,TRUE
0,84,TRUE
2,85,FALSE
5,85,TRUE
0,86,FALSE
0,86,TRUE
1,86,FALSE
1,86,TRUE
1,86,TRUE
2,86,FALSE
3,86,TRUE
4,86,FALSE
5,86,TRUE
5,86,FALSE
0,87,TRUE
1,87,FALSE
4,87,FALSE
4,87,FALSE
3,88,FALSE
3,88,TRUE
3,88,TRUE
0,89,FALSE
4,89,TRUE
5,89,TRUE
0,90,TRUE
0,90,FALSE
2,90,FALSE
3,90,FALSE
4,90,FALSE
4,90,TRUE
5,90,TRUE
5,90,TRUE
5,90,FALSE
0,91,FALSE
1,91,FALSE
4,91,FALSE
5,91,FALSE
0,92,TRUE
1,92,FALSE
3,92,FALSE
3,92,FALSE
4,92,TRUE
5,92,TRUE
1,93,TRUE
2,93,TRUE
2,93,FALSE
2,94,FALSE
4,94,FALSE
5,94,TRUE
1,96,FALSE
1,96,FALSE
2,96,FALSE
2,96,FALSE
3,96,TRUE
0,97,TRUE
1,97,FALSE
3,97,TRUE
5,97,FALSE
0,98,FALSE
3,98,FALSE
0,99,FALSE
1,99,FALSE
3,99,FALSE
4,99,TRUE
5,99,TRUE
