indexNH,ageyrs,male
1,65,TRUE
4,65,FALSE
5,65,FALSE
1,66,TRUE
2,66,FALSE
3,66,FALSE
4,66,TRUE
5,66,TRUE
0,67,FALSE
0,67,TRUE
1,67,FALSE
2,67,FALSE
1,68,TRUE
1,68,TRUE
1,68,TRUE
3,68,TRUE
0,69,TRUE
0,69,FALSE
2,69,TRUE
4,69,TRUE
0,70,FALSE
1,71,TRUE
2,71,FALSE
3,71,FALSE
1,72,FALSE
3,72,TRUE
3,72,FALSE
1,73,FALSE
1,73,TRUE
4,73,TRUE
0,74,FALSE
2,74,TRUE
2,74,FALSE
3,74,TRUE
5,74,FALSE
3,75,TRUE
3,75,FALSE
5,75,FALSE
0,76,TRUE
5,76,TRUE
0,77,FALSE
1,77,FALSE
3,77,TRUE
1,78,TRUE
4,78,FALSE
5,78,TRUE
2,79,FALSE
0,80,FALSE
5,81,FALSE
0,82,TRUE
5,82,FALSE
3,83,TRUE
5,83,FALSE
3,84,TRUE
0,85,TRUE
0,85,FALSE
1,85,TRUE
3,85,TRUE
3,85,FALSE
0,86,TRUE
1,86,FALSE
2,86,FALSE
2,86,FALSE
4,86,FALSE
4,86,FALSE
0,87,TRUE
0,87,FALSE
2,87,FALSE
4,87,FALSE
4,87,FALSE
5,87,FALSE
5,87,FALSE
5,87,TRUE
1,88,FALSE
2,88,FALSE
3,88,TRUE
4,88,TRUE
4,88,FALSE
5,88,TRUE
2,89,TRUE
5,89,TRUE
0,90,TRUE
3,90,FALSE
3,90,FALSE
1,91,FALSE
2,91,TRUE
2,91,TRUE
4,91,TRUE
5,91,TRUE
1,92,FALSE
2,92,TRUE
3,92,TRUE
3,92,FALSE
4,92,FALSE
4,92,FALSE
0,93,FALSE
1,93,FALSE
3,93,FALSE
3,93,TRUE
5,93,FALSE
5,93,TRUE
1,94,FALSE
2,94,TRUE
2,94,TRUE
4,94,FALSE
2,95,TRUE
4,95,TRUE
4,95,FALSE
1,96,TRUE
0,97,TRUE
2,97,TRUE
4,97,FALSE
4,97,FALSE
5,97,TRUE
2,98,FALSE
4,98,FALSE
5,98,FALSE
0,99,TRUE
0,99,FALSE
5,99,FALSE
