indexHome,ageyrs,male
77,0,TRUE
77,0,FALSE
80,0,TRUE
111,0,FALSE
243,0,FALSE
268,0,FALSE
302,0,FALSE
342,0,FALSE
434,0,FALSE
445,0,FALSE
535,0,TRUE
552,0,FALSE
619,0,TRUE
638,0,TRUE
689,0,TRUE
708,0,TRUE
723,0,FALSE
820,0,TRUE
835,0,FALSE
866,0,FALSE
871,0,FALSE
895,0,TRUE
938,0,TRUE
989,0,TRUE
1050,0,FALSE
1053,0,FALSE
1065,0,FALSE
1072,0,TRUE
1237,0,TRUE
1278,0,TRUE
1389,0,FALSE
1419,0,TRUE
1576,0,TRUE
1786,0,TRUE
1788,0,TRUE
1793,0,TRUE
1811,0,FALSE
1837,0,FALSE
1927,0,TRUE
1977,0,TRUE
2069,0,TRUE
2078,0,FALSE
2176,0,FALSE
2269,0,FALSE
2295,0,TRUE
2303,0,FALSE
2345,0,FALSE
2402,0,FALSE
2443,0,FALSE
2506,0,FALSE
2512,0,FALSE
2600,0,FALSE
2655,0,FALSE
2702,0,TRUE
2785,0,FALSE
2787,0,TRUE
2824,0,TRUE
3090,0,FALSE
3140,0,FALSE
3258,0,TRUE
3421,0,FALSE
3431,0,FALSE
3610,0,FALSE
3633,0,TRUE
3703,0,TRUE
3705,0,FALSE
3716,0,FALSE
3771,0,TRUE
3782,0,FALSE
3784,0,TRUE
3891,0,FALSE
3916,0,TRUE
3939,0,FALSE
3968,0,FALSE
3994,0,FALSE
4054,0,TRUE
4070,0,FALSE
4119,0,FALSE
4160,0,TRUE
4466,0,TRUE
4477,0,FALSE
4503,0,TRUE
4541,0,FALSE
4551,0,FALSE
4601,0,TRUE
4639,0,FALSE
4666,0,FALSE
4752,0,TRUE
4798,0,TRUE
4823,0,TRUE
4901,0,TRUE
5074,0,TRUE
5087,0,FALSE
5165,0,TRUE
5362,0,TRUE
5520,0,TRUE
5582,0,TRUE
5603,0,TRUE
5845,0,TRUE
5889,0,TRUE
5917,0,TRUE
5980,0,FALSE
5980,0,TRUE
5997,0,FALSE
6107,0,FALSE
6202,0,TRUE
6214,0,FALSE
6247,0,FALSE
6270,0,FALSE
6271,0,TRUE
6273,0,FALSE
6284,0,TRUE
6326,0,FALSE
6340,0,FALSE
6650,0,TRUE
6670,0,FALSE
6717,0,FALSE
6821,0,TRUE
6853,0,TRUE
6917,0,TRUE
6977,0,TRUE
7080,0,TRUE
7080,0,FALSE
7147,0,FALSE
7147,0,TRUE
7175,0,FALSE
7186,0,FALSE
7231,0,FALSE
7248,0,FALSE
7309,0,TRUE
7325,0,TRUE
7331,0,TRUE
7358,0,TRUE
7426,0,FALSE
7510,0,TRUE
7549,0,FALSE
7561,0,TRUE
7686,0,FALSE
7764,0,FALSE
7801,0,FALSE
7871,0,TRUE
7873,0,FALSE
7954,0,TRUE
8040,0,TRUE
8072,0,FALSE
8198,0,TRUE
8219,0,TRUE
8434,0,FALSE
8526,0,FALSE
8539,0,FALSE
8672,0,FALSE
8716,0,TRUE
8751,0,TRUE
8840,0,FALSE
8887,0,FALSE
8936,0,TRUE
8950,0,TRUE
8962,0,FALSE
8991,0,FALSE
9011,0,FALSE
9020,0,FALSE
9045,0,TRUE
9352,0,FALSE
9372,0,TRUE
9488,0,TRUE
9493,0,FALSE
9511,0,FALSE
9556,0,TRUE
9592,0,FALSE
9847,0,TRUE
9902,0,FALSE
9921,0,FALSE
9923,0,TRUE
9935,0,TRUE
9967,0,TRUE
10019,0,FALSE
10066,0,FALSE
10116,0,TRUE
10124,0,TRUE
10157,0,TRUE
10196,0,TRUE
10209,0,TRUE
10239,0,TRUE
10413,0,TRUE
10433,0,TRUE
10433,0,FALSE
10752,0,FALSE
10781,0,TRUE
11024,0,TRUE
11102,0,FALSE
11124,0,FALSE
11156,0,TRUE
11161,0,TRUE
11194,0,TRUE
11351,0,FALSE
11498,0,FALSE
11526,0,TRUE
11569,0,TRUE
11596,0,TRUE
11597,0,TRUE
11763,0,TRUE
11764,0,TRUE
11907,0,TRUE
12035,0,TRUE
12080,0,TRUE
12080,0,FALSE
12160,0,FALSE
12181,0,TRUE
12206,0,TRUE
12244,0,TRUE
12310,0,TRUE
12321,0,FALSE
12374,0,FALSE
12391,0,TRUE
12418,0,TRUE
12433,0,FALSE
12511,0,FALSE
12560,0,TRUE
12568,0,FALSE
12595,0,FALSE
12607,0,TRUE
12654,0,FALSE
12724,0,FALSE
12737,0,TRUE
12840,0,TRUE
12862,0,TRUE
12876,0,FALSE
12892,0,TRUE
13077,0,FALSE
13133,0,TRUE
13278,0,TRUE
13284,0,TRUE
13333,0,FALSE
13343,0,TRUE
13384,0,TRUE
13403,0,FALSE
13457,0,FALSE
13666,0,FALSE
13737,0,TRUE
13742,0,FALSE
13788,0,TRUE
13816,0,TRUE
13873,0,FALSE
13934,0,TRUE
13942,0,FALSE
14065,0,TRUE
14176,0,TRUE
14303,0,TRUE
14428,0,FALSE
14486,0,TRUE
14598,0,FALSE
14719,0,TRUE
14832,0,FALSE
14959,0,TRUE
15086,0,FALSE
15161,0,TRUE
15191,0,FALSE
15441,0,FALSE
15459,0,FALSE
15471,0,FALSE
15487,0,FALSE
15517,0,TRUE
15554,0,FALSE
15585,0,TRUE
15614,0,TRUE
15659,0,TRUE
15697,0,FALSE
15774,0,TRUE
15925,0,TRUE
15941,0,TRUE
16007,0,TRUE
16024,0,FALSE
16100,0,TRUE
16109,0,FALSE
16150,0,FALSE
16204,0,TRUE
16216,0,FALSE
16264,0,FALSE
16330,0,TRUE
16361,0,FALSE
16365,0,TRUE
16392,0,TRUE
16405,0,TRUE
16427,0,TRUE
16432,0,FALSE
16569,0,TRUE
16578,0,FALSE
16656,0,TRUE
16715,0,TRUE
16751,0,TRUE
16846,0,TRUE
16880,0,TRUE
16901,0,TRUE
16913,0,TRUE
16916,0,FALSE
16944,0,TRUE
17092,0,TRUE
17126,0,TRUE
17347,0,TRUE
17463,0,TRUE
17512,0,FALSE
17513,0,TRUE
17570,0,FALSE
17571,0,FALSE
17612,0,FALSE
17641,0,TRUE
17768,0,TRUE
17848,0,FALSE
17894,0,TRUE
17929,0,FALSE
17940,0,TRUE
17962,0,TRUE
17980,0,TRUE
18013,0,TRUE
18026,0,TRUE
18165,0,TRUE
18233,0,FALSE
18294,0,TRUE
18301,0,TRUE
18359,0,TRUE
18431,0,FALSE
18454,0,TRUE
18488,0,TRUE
18497,0,FALSE
18639,0,FALSE
18763,0,FALSE
18787,0,TRUE
18821,0,TRUE
18830,0,FALSE
18836,0,TRUE
18952,0,FALSE
19033,0,FALSE
19061,0,FALSE
19133,0,FALSE
19199,0,TRUE
19205,0,TRUE
19221,0,FALSE
19238,0,TRUE
19265,0,TRUE
19316,0,TRUE
19375,0,TRUE
19400,0,TRUE
19560,0,FALSE
19563,0,TRUE
19595,0,TRUE
19683,0,FALSE
